NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
327869,2017,22,,11,42956,43137,460,,,
331224,2017,27,,10,42956,43244,460,,,
335062,2017,47,S,9,42956,43000,460,,,
347851,2017,27,,10,42956,43244,460,1,,3.07E+13
359832,2017,27,,11,42956,43007,460,,,
363945,2017,27,,9,43116,43125,460,,,
367011,2017,27,,11,42956,43244,460,,,
378579,2017,27,,11,42956,43244,460,,,
382398,2017,44,,7,42956,43224,460,,,
401792,2017,27,,9,42956,43144,460,O,,3.07E+13
414241,2017,27,,9,42977,43244,460,,,
429408,2017,27,,9,42956,43208,460,,,
438309,2017,27,,9,42956,43244,460,,,
